system:index,Image+_Date,2BDA,3BDA,AreaSqKm,CI,Date,FLHV,Lake,Lake No,Longitude,NDCI,OC2,OC3,.geo
LC08_069014_20160610_19,6/10/16,0.514705882,0.366336634,1.292,-0.00906315,40711,-0.0016,YF14,18,-146.948035,-0.32038835,1.158415842,1.03960396,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-146.948035,66.227703]}"
LC08_069014_20160610_7,6/10/16,0.408450704,0.284552846,2.832,-0.00902245,40710,9.00E-04,Canvasback Lake,6,-146.358557,-0.42,0.926829268,0.861788618,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-146.358557,66.384025]}"
LC08_069014_20160610_12,6/10/16,0.293413174,-0.161702128,1.746,-0.0140091,40711,0.0108,YF17,11,-146.267024,-0.546296296,0.540425532,0.54893617,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-146.267024,66.320636]}"
LC08_069014_20160610_2,6/10/16,0.381443299,0.09929078,0.155,-0.00991236,40707,0.0034,Lake_1-46-3,1,-146.774584,-0.447761194,0.758865248,0.787234043,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-146.774584,66.204813]}"
LC08_069014_20160610_14,6/10/16,1.365853659,0.69047619,0.288,-0.00673492,40707,-0.0012,Lake_1-46-2,13,-146.790458,0.154639175,1.142857143,1.178571429,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-146.790458,66.195409]}"
LC08_069014_20160610_3,6/10/16,0.961538462,0.8125,0.781,-0.00547896,40711,-0.0021,Abraham Lake,2,-146.719589,-0.019607843,1.328125,1.21875,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-146.719589,66.188766]}"
LC08_069014_20160610_15,6/10/16,0.320987654,0.150793651,3.331,-0.00838328,40345,0.0035,Ninemile Lake,14,-146.660943,-0.514018692,0.722222222,0.793650794,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-146.660943,66.185801]}"
LC08_069014_20160610_9,6/10/16,0.714285714,0.533333333,4.555,-0.0069722,40710,-0.0017,Scoter Lake,8,-146.411736,-0.166666667,1.188888889,0.922222222,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-146.411736,66.235088]}"
LC08_069014_20160610_6,6/10/16,1.395348837,0.282442748,0.734,-0.00998145,40710,0.0012,Boot Lake,5,-146.27048,0.165048544,0.908396947,0.938931298,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-146.27048,66.07318]}"
LC08_069014_20160610_20,6/10/16,0.717948718,0.309859155,0.988,-0.00438681,41167.44097,0.0021,Thumb Lake,19,-146.144,-0.164179104,0.704225352,0.85915493,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-146.144,66.17525]}"
